no,nomor_memo_dinas,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,negara_pembuat,keterangan
1,1/BBPPT/I/09,2009-01-05,2009-01-07,1970(2008),Lembaga Penyiaran Publik TVRI,Pemancar Televisi,Varian / LDM1780/71/01,United Kingdom,
2,2/BBPPT/I/09,2009-01-05,2009-01-07,2201(2008),PT. MLW TELECOM,Data Card CDMA 2000 1x,SPEEDUP / SU_6350U/USB,China,
3,3/BBPPT/I/09,2009-01-05,2009-01-07,2241(2008),PT. Kemilau Terang Abadi,Facsimile,PANASONIC / KX-FM387CX,Malaysia,
4,4/BBPPT/I/09,2009-01-05,2009-01-07,2242(2008),PT. Kemilau Terang Abadi,Facsimile,PANASONIC / KX-FP372CX,Malaysia,
5,5/BBPPT/I/09,2009-01-05,2009-01-07,2243(2008),PT. Pacificom Global Sentosa,DECT Phone,PHILIPS / ID555,Hongkong,
6,6/BBPPT/I/09,2009-01-05,2009-01-07,2247(2008),PT. Ufoakses Sukses Luarbiasa,Ufoakses Micro Wireless AP Client Outdoor,UFOAKSES / USL-W54GO,Indonesia,
7,7/BBPPT/I/09,2009-01-05,2009-01-07,2248(2008),PT. Ufoakses Sukses Luarbiasa,Ufoakses Micro Wireless AP Client Indoor,UFOAKSES / USL-W54GI,Indonesia,
8,8/BBPPT/I/09,2009-01-05,2009-01-07,2274(2008),PT. Sumber Karunia Anugerah,CID Phone,BLUESKY / TPI-60301 CF,Hongkong,
9,9/BBPPT/I/09,2009-01-05,2009-01-07,2282(2008),"Hewlett - Packard Singapore(Sales), Pte, Ltd.",HP IPAQ Data Messenger,hp / HSTNH-C19C,Taiwan,
10,10/BBPPT/I/09,2009-01-05,2009-01-07,2294(2008),Philips Electronics Singapore Ptd Ltd,Multimedia Remote Control,Lenovo / RC1974102/01B,Indonesia,
11,11/BBPPT/I/09,2009-01-05,2009-01-07,2333(2008),PT. Pacificom Global Sentosa,Pesawat Telepon Analog,SIEMENS / EUPOSET 5010,China,
12,12/BBPPT/I/09,2009-01-05,2009-01-07,2335(2008),PT. Pacificom Global Sentosa,DECT Phone,SIEMENS / AL 280,Germany,
13,13/BBPPT/I/09,2009-01-08,2009-01-12,1877(2008),PT. Nusa Infotech Sejahtera,5 kW UHF Synthesized TV Transmitter,Screen Service / SCT-502UB,Italy,
14,14/BBPPT/I/09,2009-01-08,2009-01-12,1957(2008),3Com Corporation,3Com WLAN Managed AP3950,3Com / AP3950 (3CRWX395075A),China,
15,15/BBPPT/I/09,2009-01-14,2009-01-15,1977(2008),Lembaga Penyiaran Publik TVRI,Pemancar Televisi,Rohde & Schwarz / NH-7300V,Germany,
16,16/BBPPT/I/09,2009-01-14,2009-01-15,2246(2008),PT. Radio Swara Timor,Transmittier Radio FM,R.V.R / VJ5000-TR,Italy,
