no,nomor_memo_dinas,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,negara_pembuat,keterangan
17,17/BBPPT/I/09,2009-01-08,2009-01-12,2288(2008),NEC Computer Asia Pacific Sdn. Bhd.,WLAN 802.11b/g/n PCI Card,CC&C / WL-6400,taiwan,
18,18/BBPPT/I/09,2009-01-08,2009-01-12,2229(2008),PT. Ariko Function Indonesia,Fixed Wireless Terminal,FUNCTION / FW-G2710,China,
19,19/BBPPT/I/09,2009-01-08,2009-01-12,2311(2008),PT. Telgam Indo Intim,Handphone/Selular,BlackBerry / BlackBerry Bold 9000,Hungary,
20,20/BBPPT/I/09,2009-01-08,2009-01-12,2315(2008),PT. Motorola Indonesia,Handphone,Motorola / Motorola W 165 Dual Band,China,
21,21/BBPPT/I/09,2009-01-08,2009-01-12,2317(2008),PT. Dwi Utama Perkasa,Telepon Seluler GSM-GSM,MAXTRON / MG 158,China,
22,22/BBPPT/I/09,2009-01-08,2009-01-12,2318(2008),Nokia Corporation,Nokia Bluetooth Stereo Headset,Nokia BH-606 / HS-128W,China,
23,23/BBPPT/I/09,2009-01-08,2009-01-12,2319(2008),Nokia Corporation,Nokia Bluetooth Stereo Headset,Nokia / BH-103 / HS-121W,China,
24,24/BBPPT/I/09,2009-01-08,2009-01-12,2321(2008),PT. Pusara Indo Prima,Telepon Selular,D'FONE / S 36,Hongkong,
25,25/BBPPT/I/09,2009-01-09,2009-01-12,2251(2008),ENGENIUS NETWORKS SINGAPORE PTE LTD,Wireless Outdoor AP/Client Bridge/Client Router,EnGenius / EOC-2610,Taiwan,
26,26/BBPPT/I/09,2009-01-09,2009-01-12,2287(2008),PT. Elovo Technologies Indonesia,WLAN 802.11b/g and Bluetootg Draft in Mini PCI-Express Card,Rasin Technology / STA-MC-A0031,China,
27,27/BBPPT/I/09,2009-01-09,2009-01-12,2309(2008),PT. Nortel Networks Indonesia,PABX,Nortel / BCM 450,Canada,
28,28/BBPPT/I/09,2009-01-09,2009-01-12,2320(2008),PT. Maju Express Indonesia,Ponsel Dual (GSM 900/1800 MHz),MITO / 266,China,
29,29/BBPPT/I/09,2009-01-09,2009-01-12,2325(2008),PT. Samsung Electronics Indonesia,Handphone,Samsung / Samsung GSM Type C2110,Korea republic of,
30,30/BBPPT/I/09,2009-01-09,2009-01-12,2326(2008),PT. Samsung Electronics Indonesia,Handphone,Samsung / Samsung GSM Type SGH-D980,Korea republic of,
31,31/BBPPT/I/09,2009-01-09,2009-01-12,2327(2008),PT. Megasindo Pratama,Telepon Seluler,G-Star / 118,China,
32,32/BBPPT/I/09,2009-01-09,2009-01-12,2328(2008),PT. Dwi Utama Perkasa,Telepon Selular GSM-GSM,MAXTRON / MG 137,China,
33,33/BBPPT/I/09,2009-01-09,2009-01-12,2329(2008),PT. Nokia Indonesia,Telepon Selular,Nokia / 1661-2 / RH-122 (EGSM900/GSM1800),India,
34,34/BBPPT/I/09,2009-01-09,2009-01-12,2336(2008),PT. Triduta Mitra Sejahtera,Handphone,CROSS / GG- 55 (Dual GSM),China,
35,35/BBPPT/I/09,2009-01-09,2009-01-12,2339(2008),PT. Dwi Utama Perkasa,Telepon Selular GSM-GSM,MAXTRON / MG 127,China,
36,36/BBPPT/I/09,2009-01-09,2009-01-12,2340(2008),PT. Dynatama Internusa,Handphone,TITAN / V68i/GSM-GSM/Dual Band/900/1800 MHz,China,
37,37/BBPPT/I/09,2009-01-09,2009-01-12,2341(2008),PT. ComWorks Indonesia,Mobile Phone Dual Sim GSM/GSM (900/1800MHz),eTouch / D12,Hongkong,
38,38/BBPPT/I/09,2009-01-09,2009-01-12,2347(2008),PT. Panca Komunindo Perkasa,Soundwin VoIP Gateway,Soundwin / S200,Taiwan,
39,39/BBPPT/I/09,2009-01-09,2009-01-12,2356(2008),PT. Daftar Harga Eksim,802.11b/g PCI Express,ATHEROS / AR500EG,United States,
40,40/BBPPT/I/09,2009-01-09,2009-01-12,3,PT. Aneka Infokom Tekindo,Digital PABX,TOSHIBA / STRATA CIX670,Japan,
41,41/BBPPT/I/09,2009-01-09,2009-01-12,2250(2008),ENGENIUS NETWORKS SINGAPORE PTE LTD,Wireless Outdoor AP/Repeater/WDS,EnGenius / EAP-3660,Taiwan,
42,42/BBPPT/I/09,2009-01-09,2009-01-12,2348(2008),PT. Panca Komunindo Perkasa,Soundwin VoIP Gateway,Soundwin / S400,Taiwan,
43,43/BBPPT/I/09,2009-01-09,2009-01-12,2342(2008),PT. ComWorks Indonesia,Mobile Phone TV Dual Sim GSM/GSM (900/1800 MHz),eTouch / TD200,Hongkong,
44,44/BBPPT/I/09,2009-01-12,2009-01-13,2237(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON / UKY 210 76/DC12, 15 GHz High Performance 0,6 m",Sweden,
45,45/BBPPT/I/09,2009-01-12,2009-01-13,2286(2008),PT. Elovo Technologies Indonesia,802.11 b/g Mini PCI-Express Wireless Card,AzureWave / AW-GE780,China,
46,46/BBPPT/I/09,2009-01-14,2009-01-15,2232(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSON / UKY 210 95/DC12, 7/8 GHz High Performance 0.6m",Sweden,
47,47/BBPPT/I/09,2009-01-14,2009-01-15,2272(2008),PT. Sumber Karunia Anugerah,CID Phone,TORIphone / TP-971CID,Hongkong,
48,48/BBPPT/I/09,2009-01-14,2009-01-15,2273(2008),PT. Sumber Karunia Anugerah,CID Phone,TORIphone / TP-969CID,Hongkong,
49,49/BBPPT/I/09,2009-01-14,2009-01-15,2275(2008),PT. Sumber Karunia Anugerah,CID Phone,TORIphone / TP-973CID,Hongkong,
50,50/BBPPT/I/09,2009-01-14,2009-01-15,2276(2008),PT. Sumber Karunia Anugerah,CID Phone,TORIphone / TP-2375CID,Hongkong,
51,51/BBPPT/I/09,2009-01-14,2009-01-15,2346(2008),Ralink Technology Corporation,11b/g/n 1T1R WLAN MINI CARD,Ralink / RT3090,Taiwan,
52,52/BBPPT/I/09,2009-01-14,2009-01-15,2308(2008),PT. Infracom Telesarana,Ku-Band Block Up Converter,Miteq / UPB-WS-13.8-C19455,United States,
53,53/BBPPT/I/09,2009-01-14,2009-01-15,2331(2008),PT. Rohde & amp;Schwarz Indonesia,Pemancar TV Analog 20kW,Rohde & Schwarz / NH 8612,Germany,
54,54/BBPPT/I/09,2009-01-15,2009-01-16,2171(2008),Microcelectronics Technology Inc.,Gemini Indoor HotPort CPE Node,Firetide / 2100,China,
55,55/BBPPT/I/09,2009-01-15,2009-01-16,2289(2008),PT. NetWave Multi Media,Mobile Router,Hongdian / H8921-RTH-w (X) / 3G,China,
56,56/BBPPT/I/09,2009-01-15,2009-01-16,2312(2008),PT. Adyawinsa Dinamika,Antenna Dual Polarization,ARGUS / NPX412M-V1,Australia,
57,57/BBPPT/I/09,2009-01-15,2009-01-16,2343(2008),Primax Electronics LTD.,Green DT Mouse,HP / MORFD6UL,China,
58,58/BBPPT/I/09,2009-01-15,2009-01-16,2345(2008),Primax Electronics LTD.,Green DT Dongle,HP / MORFD6UL-D,China,
59,59/BBPPT/I/09,2009-01-15,2009-01-16,2352(2008),PT. Meghantara Multimedia Solusindo,FWT GSM (Telepon Umum),TELUM / TM 101,China,
60,60/BBPPT/I/09,2009-01-15,2009-01-16,2353(2008),PT. Nokia Indonesia,Telepon Selular,"Nokia / 5630d-1 / RM-431 (GSM850/900/1800/1900,WCDMA900/1900/2100,WLAN)",China,
61,61/BBPPT/I/09,2009-01-15,2009-01-16,5,PT. Datacomindo Mitrausaha,Handphone,DTC / DTC 301,China,
62,62/BBPPT/I/09,2009-01-15,2009-01-16,6,PT. ComWorks Indonesia,Mobile Phone GSM (900/1800MHz),eTouch / J168,Hong kong,
63,63/BBPPT/I/09,2009-01-15,2009-01-16,7,PT. Prima Mitratama Sejati,Indoor Omni-Directional Ceiling Mounted Antenna,COMBA / IXD-360V03N0,Hong kong,
64,64/BBPPT/I/09,2009-01-15,2009-01-16,8,PT. Prima Mitratama Sejati,Indoor Directional Panel Antenna,COMBA / IWH-090V08N0,Hong kong,
65,65/BBPPT/I/09,2009-01-15,2009-01-16,9,PT. Megasindo Pratama,Telepon Seluler,G-STAR / 688,China,
66,66/BBPPT/I/09,2009-01-15,2009-01-16,2261(2008),PT. Angkasa Telekomindo,Indoor Antenna,ENERSUS / IDOVCB-03XX-NXX,China,
67,67/BBPPT/I/09,2009-01-19,2009-01-20,2043(2008),"Power Instruments Pte,. Ltd.",eGenKit,Power Instruments / Logger 1.0,Singapore,
68,68/BBPPT/I/09,2009-01-19,2009-01-20,2262(2008),PT. Sakti Karunia Abadi,Antenna Parabola,TANAKA / Yes TV T-100,China,
69,69/BBPPT/I/09,2009-01-19,2009-01-20,2322(2008),PT. MLW TELECOM,Data Card 3G,OPTION / GT 3G+EMEA/PCMCIA,Belgium,
70,70/BBPPT/I/09,2009-01-19,2009-01-20,2323(2008),PT. MLW TELECOM,Data Card 3G,OPTION / Gtmax EMEA/PCMCIA,Ireland,
71,71/BBPPT/I/09,2009-01-19,2009-01-20,2354(2008),PT. Dwi Utama Perkasa,Telepon Selular GSM-GSM,MAXTRON / MG 157,China,
72,72/BBPPT/I/09,2009-01-19,2009-01-20,4,PT. Datacomindo Mitrausaha,Handphone,DTC / DTC 900,China,
73,73/BBPPT/I/09,2009-01-19,2009-01-20,11,PT. Agis Electronic.,Mobile Phone,KOZI / Dual Mode GSM / CDMA KGC-003,China,
74,74/BBPPT/I/09,2009-01-19,2009-01-20,22,PT. Dynatama Internusa,Mobile TV,TITAN / T786/Dual Sim Card/GSM/DualBand/900/1800 Mhz,China,
75,75/BBPPT/I/09,2009-01-19,2009-01-20,23,PT. Dynatama Internusa,Mobile TV,TITAN / T9898i/Triple Sim Card/GSM900/DCS1800/CDMA800 Mhz,China,
76,76/BBPPT/I/09,2009-01-20,2009-01-23,2313(2008),PT. Asus Indonesia,PDA Phone,ASUS / ASUS P552w,Taiwan,
77,77/BBPPT/I/09,2009-01-20,2009-01-23,2314(2008),PT. Asus Indonesia,PDA Phone,ASUS / ASUS P565,Taiwan,
78,78/BBPPT/I/09,2009-01-20,2009-01-23,2344(2008),PT. Karsamudika Andalan Utama,Testo Saveris Router,TESTO / P/N :0572 0159,Germany,
79,79/BBPPT/I/09,2009-01-20,2009-01-23,2357(2008),PT. Madya Utama Expresindo,SmartPhone,"BlckBerry Storm 9500 / BlackBerry Storm 9500, RCC51UW Triband",Mexico,
80,80/BBPPT/I/09,2009-01-20,2009-01-23,10,PT. Megasindo Pratama,Telepon Seluler,TIGER / KF 608,China,
81,81/BBPPT/I/09,2009-01-20,2009-01-23,12,"PT. Maju Express Indonesia,",Ponsel Triple ON Dual GSM 900/1800 MHz Single CDMA,MITO / 528,China,
82,82/BBPPT/I/09,2009-01-20,2009-01-23,13,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900/1800 MHz,MITO / 2000,China,
83,83/BBPPT/I/09,2009-01-20,2009-01-23,35,PT. Datacomindo Mitrausaha,Handphone,DTC / DTC 610,China,
84,84/BBPPT/I/09,2009-01-21,2009-01-23,2234(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON UKY 210 50/DC12, 7/8 GHz High Performance 1.8m",Sweden,
85,85/BBPPT/I/09,2009-01-21,2009-01-23,2235(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON / UKY 210 89/DC12, 13 GHz High Performance 0.6 m",Sweden,
86,86/BBPPT/I/09,2009-01-21,2009-01-23,2236(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON / UKY UKY 210 41/12, 13 GHz High Performance 1.2m",Sweden,
87,87/BBPPT/I/09,2009-01-21,2009-01-23,2238(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON / UKY 210 42/DC12, 15 GHz High Performance 1,2 m",Sweden,
88,88/BBPPT/I/09,2009-01-21,2009-01-23,2337(2008),PT. Cakrawala Multi Komunikasi Pusat Jakarta,Handy Talky,Alinco / DJ-175 TFH,Japan,
89,89/BBPPT/I/09,2009-01-21,2009-01-23,15,"D-Link International Pte., Ltd",56K Software Data/Fax/Voice Modem Card,D-Link / DFM-562IS,China,
90,90/BBPPT/I/09,2009-01-21,2009-01-23,18,"D-Link International Pte., Ltd",V.92 56K Data/Fax USB Modem,D-Link / DU-562M,China,
91,91/BBPPT/I/09,2009-01-21,2009-01-23,2233(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON / UKYV210 40/DC12, 7/8 GHz High performance 1.2m",Sweden,
92,92/BBPPT/I/09,2009-01-23,2009-01-28,1662(2008),PT. Sumber Karunia Anugerah,Digital Cordless Phone,ALCATEL / FS 21881CE 1-A,China,
93,93/BBPPT/I/09,2009-01-23,2009-01-28,1663(2008),PT. Sumber Karunia Anugerah,Digital Cordless Phone,ALCATEL / FS 21811CE 2-A,China,
94,94/BBPPT/I/09,2009-01-23,2009-01-28,1535(2008),PT. Nusa Infotech Sejahtera,Transmitter TV Broadcasting,Screen Service / SdT-203UM-W,Italy,
95,95/BBPPT/I/09,2009-01-23,2009-01-28,2239(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON / UKY 210 73/DC15, 23 GHz High Performance 0,3 m",Sweden,
96,96/BBPPT/I/09,2009-01-23,2009-01-28,2240(2008),PT. Ericsson Indonesia,ANTENNA,"ERICSSON / UKY 210 78/DC15, 23 GHz High Performance 0,6 m",Sweden,
97,97/BBPPT/I/09,2009-01-23,2009-01-28,2332(2008),PT. Indo Tayang Mandiri,5 KW TV Transmitter,technosystem Digital Network S.p.A / STU 35,Italy,
98,98/BBPPT/I/09,2009-01-23,2009-01-28,2338(2008),PT. Cakrawala Multi Komunikasi Pusat Jakarta,Handy Talky,Suicom / SH-136 Freq. 136-174 MHz,China,
99,99/BBPPT/I/09,2009-01-23,2009-01-28,2351(2008),PT. Indonesia HYT Science & Technology,Two Way Radio,HYT / TC 518V Frekuensi 136-174 MHz,China,
100,100/BBPPT/I/09,2009-01-23,2009-01-28,16,"D-Link International Pte., Ltd",Wireless 108G Web Smart Thin Access Point,D-Link / DWL-3140AP,China,
101,101/BBPPT/I/09,2009-01-23,2009-01-28,17,"D-Link International Pte., Ltd",Wireless Internet Camera,D-Link / DCS-2121,Taiwan,
102,102/BBPPT/I/09,2009-01-23,2009-01-28,24,PT. Dynatama Internusa,Mobile TV,TITAN / T5858i/Triple Sim Card/GSM900/DCS1800/CDMA800 Mhz,China,
103,103/BBPPT/I/09,2009-01-23,2009-01-28,30,PT. Smart Telecom,Modem Wi-Fi Router,axess.tel / MV 430,China,
104,104/BBPPT/I/09,2009-02-04,,32,PT. Autojaya Idetech,Portable Printer,Oneil / OC-3,United States,
105,105/BBPPT/I/09,2009-01-23,2009-01-28,33,PT. Zte Indonesia,Base Station Antenna,MOBI / MB800-30-15D,China,
106,106/BBPPT/I/09,2009-01-23,2009-01-28,36,PT. Huawei Tech Investment,CDMA Mobile Handset,HUAWEI / C2607,China,
107,107/BBPPT/I/09,2009-01-23,2009-01-28,37,Sony Ericsson Mobile Communications AB (SEAB),Mobile Phone,"SONY ERICSSON / C510, WCDMA/GPRS/EDGE,2100/1900/900/850 MHz",China,
108,108/BBPPT/I/09,2009-01-23,2009-01-28,38,Sony Ericsson Mobile Communications AB (SEAB),Accessories,"SONY ERICSSON / Sony Ericsson EC 400, Data Card HSDPA/7.2 MBps",Malaysia,
109,109/BBPPT/I/09,2009-01-27,2009-01-29,1965(2008),PT. Motorola Indonesia,Base Station,"Motorola / MTS4 TETRA, Freq.851 to 870 MHz (TX), 806 to 825 MHz (Rx)",Malaysia,
110,110/BBPPT/I/09,2009-01-27,2009-01-29,2267(2008),PT. Karsamudika Andalan Utama,Testo Saveris Radio Probe,TESTO / P/N : 0572 1160,Germany,
111,111/BBPPT/I/09,2009-01-27,2009-01-29,2269(2008),PT. Karsamudika Andalan Utama,Testo Saveris Radio Probe,TESTO / P/N : 0572 6160,Germany,
112,112/BBPPT/I/09,2009-01-27,2009-01-29,2293(2008),Logitech Far East Ltd.,2.4 GHz Cordless Mouse,Logitech / M-R0003,China,
113,113/BBPPT/I/09,2009-01-27,2009-01-29,2310(2008),"Savi Technologies, Inc.",RFID TAG,Savi Tag / ST-696-001,United States,
114,114/BBPPT/I/09,2009-01-27,2009-01-29,2324(2008),PT. Schlumberger Geophysics Nusantara,DL-3400 Synthesized Telemetry Link (TGS-8),DATA RADIO / DL-3400 Synthesized Telemetry Link/DL-3412 (150-174 MHz),United States,
115,115/BBPPT/I/09,2009-01-27,2009-01-29,2330(2008),Nokia Corporation,Nokia Bluetooth Stereo Headset,Nokia / BH-215 / HS-129W,China,
116,116/BBPPT/I/09,2009-01-27,2009-01-29,1,PT. Cisco Systems Indonesia,Wireless-N USB Network Adapter with Dual Band,Linksys / WUSB600N,China,
117,117/BBPPT/I/09,2009-01-27,2009-01-29,2,PT. Cisco Systems Indonesia,Wireless-N ADSL2+ Gateway,Linksys / WAG160N,China,
118,118/BBPPT/I/09,2009-01-27,2009-01-29,14,PT. Karyamegah Adijaya,DIGITAL SATELLITE RECEIVER HIGH DEFINITION,KAON / ESPN STARSPORTS / KSF-B660NS,"Korea, Republic Of",
119,119/BBPPT/I/09,2009-01-27,2009-01-29,25,PT. Madya Utama Expresindo,iPhone,"iPhone / iPhone 16gb, Triband",China,
120,120/BBPPT/I/09,2009-01-27,2009-01-29,26,"Atheros Communications, Inc",802.11n 2x2 PCIe Minicard Transceiver,Atheros / AR5B93,United States,
121,121/BBPPT/I/09,2009-01-27,2009-01-29,27,"Atheros Communications, Inc",802.11n 1x1 PCIe Minicard Transceiver,Atheros / AR5B95,United States,
122,122/BBPPT/I/09,2009-01-27,2009-01-29,42,UD. Dwi Gajah Manunggal,Handphone,Adline / JC 51,China,
123,123/BBPPT/I/09,2009-01-27,2009-01-29,54,"PT. Maju Express Indonesia,","Ponsel Dual GSM 900MHz/1800MHz, CDMA 800MHz",MITO / 9100,China,
124,124/BBPPT/I/09,2009-01-27,2009-01-29,63,PT. Tixpro Informatika Megah,HP OFFICEJET J3608,HEWLETT PACKARD / SDGOB-0604-03,China,
125,125/BBPPT/I/09,2009-01-28,2009-01-30,2284(2008),PT. Bejana Nusa Agung,Telepon Selular (GSM-GSM),IT Mobile / X 69,China,
126,126/BBPPT/I/09,2009-01-28,2009-01-30,46,Asus Tek Computer Inc.,Dongle,ASUS / ER-C2,China,
127,127/BBPPT/I/09,2009-01-28,2009-01-30,48,Asus Tek Computer Inc.,Wireless Keyboard,ASUS / EK-C2,China,
128,128/BBPPT/I/09,2009-01-28,2009-01-30,62,PT. Naga Mas Kreasi Mandiri,Cellular Phone GSM 900/1800,K-Touch / C500,China,
129,129/BBPPT/I/09,2009-01-28,2009-01-30,66,PT. Megasindo Pratama,Telepon Seluler,Sky Phone / 218,China,
130,130/BBPPT/I/09,2009-01-28,2009-01-30,67,PT. Sani Tiara Prima,Handphone Dual Mode GSM+CDMA,PLATINUM / Analog TV,China,
131,131/BBPPT/I/09,2009-01-28,2009-01-30,72,PT. Dwi Utama Perkasa,Telepon Seluler GSM-GSM,MAXTRON / MG 116,China,
132,132/BBPPT/I/09,2009-01-28,2009-01-30,73,PT. Dwi Utama Perkasa,Telepon Selular GSM-GSM,MAXTRON / MG 197,China,
133,133/BBPPT/I/09,2009-01-28,2009-01-30,74,PT. Dwi Utama Perkasa,Telepon Selular GSM-GSM,MAXTRON / MG 167,China,
134,134/BBPPT/I/09,2009-01-28,2009-01-30,75,PT. Dwi Utama Perkasa,Telepon Selular GSM-GSM,MAXTRON / MG 177,China,
135,135/BBPPT/I/09,2009-01-28,2009-01-30,83,PT. Wenxin Elektronika Tehnologi,Handphone,Exint / E 5000,China,
136,136/BBPPT/I/09,2009-01-28,2009-01-30,84,PT. Wenxin Elektronika Tehnologi,Handphone,FUJITEC / A 777,China,
137,137/BBPPT/I/09,2009-01-28,2009-01-30,2268(2008),PT. Karsamudika Andalan Utama,Testo Saveris Base,TESTO / P/N : 0572 0160,Germany,
138,138/BBPPT/I/09,2009-01-28,2009-01-30,47,Asus Tek Computer Inc.,Wireless Mouse,ASUS / EM-C2,China,
139,139/BBPPT/I/09,2009-01-29,2009-01-30,2316(2008),PT. Sinar Mentari Era Jaya,54M Wireless LAN USB Adaper,TP-LINK / TL-WN422G,China,
140,140/BBPPT/I/09,2009-01-29,2009-01-30,50,PT. Mirusa Ham Elektronik,Profesional FM Handheld Transceiver,Ronson / RT-6000 Plus (Frek. 136-174 MHz),China,
141,141/BBPPT/I/09,2009-01-29,2009-01-30,52,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900Mhz/1800 MHz,G-Tide / W510i,China,
142,142/BBPPT/I/09,2009-01-29,2009-01-30,53,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900Mhz/1800 MHz,G-Tide W260,China,
143,143/BBPPT/I/09,2009-01-29,2009-01-30,55,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900Mhz/1800 MHz,G-Tide / W680,China,
1,146/BBPPT/I/09,2009-01-29,2009-02-05,20,3Com Corporation,MSR 30-16,3Com / MSR 30-16,China,
2,147/BBPPT/I/09,2009-01-29,2009-02-05,79,PT. Sinar Mentari Era Jaya,2.4 GHz 5 dBi Indoor Omni Antenna,TP-LINK / TL-ANT2405C,China,
3,148/BBPPT/I/09,2009-01-29,2009-02-05,80,PT. Sinar Mentari Era Jaya,2.4 GHz 6 dBi Indoor Desktop Yagi Antenna,TP-LINK / TL-ANT2406C,China,
4,149/BBPPT/I/09,2009-01-29,2009-02-05,91,PT. Sinar Mentari Era Jaya,9 dBi Outdoor Yagi Antenna,TP-LINK / TL-ANT2409A,China,
5,150/BBPPT/I/09,2009-01-29,2009-02-05,92,PT. Sinar Mentari Era Jaya,14 dBi Outdoor Yagi Antenna,TP-LINK / TL-ANT2414A,China,
6,151/BBPPT/II/09,2009-02-03,2009-02-05,87,PT. Sam Surya Indonesia,Telepon Cellular,G-Von / 600i,China,
7,152/BBPPT/II/09,2009-02-03,2009-02-05,98,PT. Samart I-Mobile Indonesia,Handphone,i-Mobile / 522,Thailand,
8,153/BBPPT/II/09,2009-02-03,2009-02-05,99,PT. Samart I-Mobile Indonesia,Handphone,i-Mobile / 533,Thailand,
9,154/BBPPT/II/09,2009-02-03,2009-02-05,103,PT. Megasindo Pratama,Telepon Seluler (GSM-GSM),G-STAR / 868,China,
10,155/BBPPT/II/09,2009-02-03,2009-02-05,21,3Com Corporation,MSR 50-40,3Com / MSR 50-40,China,
11,156/BBPPT/II/09,2009-02-03,2009-02-05,61,PT. Alcatel-Lucent Enterprie,OmniSwitch,Alcatel-Lucent / OS6850,China,
12,157/BBPPT/II/09,2009-02-03,2009-02-05,76,Primax Electronics Ltd.,Lenovo Laser 2.4G Mouse,Lenovo / MORFDJUL,China,
13,158/BBPPT/II/09,2009-02-03,2009-02-05,77,Primax Electronics Ltd.,Green Mobile Mouse,HP / MORFD7UL,China,
14,159/BBPPT/II/09,2009-02-03,2009-02-05,78,Primax Electronics Ltd.,Green Mobile Dongle,HP / MORFD7UL-D,China,
15,160/BBPPT/II/09,2009-02-03,2009-02-05,95,PT. Suryajaya Teknotama,Antenna Dual Polarized,Andrew / DB858DG90ESY,China,
16,161/BBPPT/II/09,2009-02-03,2009-02-05,96,PT. Suryajaya Teknotama,Antenna Dual Polarized,Andrew / LBX-9014DS-VTM,China,
17,162/BBPPT/II/09,2009-02-03,2009-02-05,97,PT. Suryajaya Teknotama,Antenna Dual Polarized,Andrew / 858DG90T3ESY,China,
18,163/BBPPT/II/09,2009-02-03,2009-02-05,40,Sony Corporation,Wireless Microphone (Receiver),SONY / ECM-HW2(R),Japan,
19,164/BBPPT/II/09,2009-02-03,2009-02-05,41,Sony Corporation,Wireless Microphone (Microphone),SONY / ECM-HW2(T),Japan,
20,165/BBPPT/II/09,2009-02-03,2009-02-05,43,Intermec Technologies Corporation,Handheld Computer,INTERMEC / CK3a1,Singapore,
21,166/BBPPT/II/09,2009-02-03,2009-02-05,44,Intermec Technologies Corporation,Handheld Computer,INTERMEC / CK3n1,Singapore,
22,167/BBPPT/II/09,2009-02-03,2009-02-05,117,PT. Konten Indonesia Pratama,Mobile Phone Dual SIM,IMO / TV800 (GSM 900/1800 MHz),China,
23,168/BBPPT/II/09,2009-02-03,2009-02-05,118,PT. Konten Indonesia Pratama,Mobile Phone Dual SIM (Dual SIM & CDMA),IMO / T389 (GSM 900/1800 MHz / CDMA 800 MHz),China,
24,169/BBPPT/II/09,2009-02-03,2009-02-05,119,CV. Aego Indonesia,Handphone GSM900/1800/1900,AEGO / X20,China,
25,170/BBPPT/II/09,2009-02-03,2009-02-05,120,CV. Aego Indonesia,Handphone GSM900/1800/1900,AEGO / M30,China,
