id,nomor_memo_dinas,tahun_masuk,bulan_masuk,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,merk,negara_pembuat,keterangan
S00001,540/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,499,PT. Sinar Mentari Era Jaya,108M Wireless Access Point,TP-LINK / TL-WA601G,TP-LINK,Tiongkok,
S00002,541/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,500,PT. Sinar Mentari Era Jaya,108M Wireless ADSL2 + Router,TP-LINK / TD-W8920G,TP-LINK,Tiongkok,
S00003,542/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,497,PT. Sinar Mentari Era Jaya,108M Wireless CardBus Adapter,TP-LINK / TL-WN610G,TP-LINK,Tiongkok,
S00004,543/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,402,Buffalo Inc.,Air Station,Buffalo / WCR-G54,BUFFALO,Taiwan,
S00005,544/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,426,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 7G Antenna 7.125-7.725 GHz,PUTIAN,Tiongkok,
S00006,545/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,427,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 13G Antenna 12.75-13.25 GHz,PUTIAN,Tiongkok,
S00007,546/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,428,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 15G Antenna 14.40-15.35 GHz,PUTIAN,Tiongkok,
S00008,547/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,494,DENSO CORPORATION,Remote Keyless Entry System (Receiver),DENSO / 13CZD,DENSO,Jepang,
S00009,548/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,495,"Tokai Rika Co.,Ltd",Immobilizer,Tokai Rika / B81UA,TOKAI RIKA,Jepang,
S00010,549/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,548,"Samsung Electronics Indonesia, PT.",Handphone,Samsung /Samsung GSM Type SGH-F480 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,Tiongkok,
S00011,550/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,549,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-G810 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,Korea Selatan,
S00012,551/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,550,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-D780 (GSM 900/1800/1900 MHz),SAMSUNG,Korea Selatan,
S00013,552/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,560,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / GF2000 (GSM900/1800 MHz),IMO,Tiongkok,
S00014,553/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,561,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / i700 (GSM900/1800/1900 MHz),IMO,Tiongkok,
S00015,554/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,562,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / i800 (GSM900/1800/1900 MHz),IMO,Tiongkok,
S00016,555/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,563,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / 900 (GSM900/1800/1900 MHz),IMO,Tiongkok,
S00017,556/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,564,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-i550W (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,Korea Selatan,
S00018,557/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,335,PT. Mitrasarana Indonippon Logistics,Antenna Receiver,Prodelin / 1451,PRODELIN,Amerika Serikat,
S00019,558/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,424,Foxconn,Bluetooth,FOXCONN / BCM92046,FOXCONN,Taiwan,
S00020,559/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,508,PT. Sojo Powerindo Perkasa,Single Line Telephone,LG / GS-5140,LG,Vietnam,
S00021,560/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,509,"ALITA PRAYAMITRA,PT.",Antenna Microwave,GRANTE High Performance Antenna ( HPA 0.6S71SR ),GRANTE HIGH PERFORMANCE ANTENNA ( HPA 0.6S71SR ),Hungary,
S00022,561/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,565,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-M120 (GSM 900/1800 MHz),SAMSUNG,Korea Selatan,
S00023,562/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,566,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-M620 (GSM 900/1800/1900 MHz),SAMSUNG,Korea Selatan,
S00024,563/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,567,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-F400 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,Korea Selatan,
S00025,564/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,478,PT. Subur Semesta,USB Wireless CDMA Modem 2000 1x RTT,Venus / VT 12,VENUS,Indonesia,
S00026,565/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,479,PT. Subur Semesta,USB Wireless CDMA Modem 2000 1x RTT,Venus / VT 80,VENUS,Indonesia,
S00027,566/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,480,PT. Subur Semesta,USB Wireless CDMA Modem 2000 1x RTT,Venus / VT 21,VENUS,Indonesia,
S00028,567/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,533,PT. Procell Indonesia,Telepon Seluler,Beyond / B 828 (HS-12),BEYOND,Tiongkok,
S00029,568/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,578,PT. Telgam Indo Intim,Handphone / TV Mobile Dual Working GSM + GSM,Swaahoo / S909,SWAAHOO,Tiongkok,
S00030,569/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,579,PT. Wenxin Elektronika Teknologi,Handphone,Exint / E1100,EXINT,Tiongkok,
S00031,570/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,580,PT. Wenxin Elektronika Teknologi,Handphone,Exint / C6000,EXINT,Tiongkok,
S00032,571/BBPPT/V/08,2008,Mei,7-May-08,8-May-08,581,PT. Dian Graha Elektrika,GSM Phone,BenQ / C36,BENQ,Tiongkok,
S00033,524/BBPPT/IV/08,2008,April,8-May-08,9-May-08,316,"Avaya Singapore,Pte.Ltd.",PABX,Avaya / G450 Media Gateway,AVAYA,Amerika Serikat,
S00034,527/BBPPT/IV/08,2008,April,8-May-08,9-May-08,448,PT. Multi Graha Teknika,Modem,Wabtec / MCC-545,WABTEC,Amerika Serikat,
S00035,534/BBPPT/IV/08,2008,April,8-May-08,9-May-08,264,PT. Andalan Putra Manikam,Handphone 2 Mode (GSM-CDMA),"Altrec / CE 80i (GSM 900/1800 MHz, CDMA 800 MHz)",ALTREC,Tiongkok,
S00036,572/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,516,PT. Hayam Wuruk Permai,VHF Air Band Transceiver,Icom / Icom IC-A6,ICOM,Jepang,
S00037,573/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,517,PT. Hayam Wuruk Permai,VHF HT Transceiver,Icom / IC-F33GT,ICOM,Jepang,
S00038,574/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,518,PT. Hayam Wuruk Permai,VHF Mobile/Fixed Transceiver,Icom / IC-F121,ICOM,Jepang,
S00039,575/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,519,PT. Hayam Wuruk Permai,Marine DSC/VHF Radio Telephone,Samyung / STR-6000A,SAMYUNG,Korea Selatan,
S00040,576/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,520,PT. Hayam Wuruk Permai,Transceiver Ground to Air Radio,Telerad / Emry 990 A,TELERAD,Perancis,
S00041,577/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,522,PT. Hayam Wuruk Permai,HF-SSB Mobile/Fixed,Motorola / MICOM-2 ES,MOTOROLA,Amerika Serikat,
S00042,578/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,523,PT. Hayam Wuruk Permai,MF/HF DSC NBDP Radio Equipment,Samyung / SRG-1150DN,SAMYUNG,Korea Selatan,
S00043,580/BBPPT/V/08,2008,Mei,7-May-08,9-May-08,559,PT. Bengawan Abadi Komputerindo,Wireless Handheld,BlackBerry 8320 / RBJ41GW,BLACKBERRY 8320,Canada,
S00044,583/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,547,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-E251 (GSM 900/1800/1900 MHz),SAMSUNG,Tiongkok,
S00045,584/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,452,"MLW Telecom, PT.",Data Card HSDPA,Option / GI 0225/USB,OPTION,Belgium,
S00046,585/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,453,"MLW Telecom, PT.",Data Card HSDPA,Speedup / SU-8300U/USB,SPEEDUP,Tiongkok,
S00047,586/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,380,PT. Buanatama Terang Sejahtera,Base Panel Directional Antenna,Z-Stone / TQWTD-15090-08V,Z-STONE,Tiongkok,
S00048,587/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,381,PT. Buanatama Terang Sejahtera,Antenna Mix Corner Reflector Directional,Z-Stone / TQWTC-17045-08/09V,Z-STONE,Tiongkok,
S00049,588/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,507,"NEC Indonesia, PT.",Antenna,Andrew / VHLP2-7W Frekuensi 7 GHz,ANDREW,Czech Republic,
S00050,589/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,510,PT. Mega Berkat Abadi,Dual Port ADSL 2+ Router,Ethernet / ADSL Modem JK DB108-E,ETHERNET,Tiongkok,
S00051,590/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,511,"Zyrexindo Mandiri Buana, PT.",Modem,Compal / ML3054,COMPAL,Taiwan,
S00052,591/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,512,PT. Suryajaya Teknotama,Radio Microwave PDH,"SIAE Microelettronica S.p.A / ELFO Rel.2, 15 GHz, Horizontal/Vertical, HP, 0.3M (Integrated)",SIAE MICROELETTRONICA S.P.A,Italy,
S00053,592/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,514,PT. Sentrakom Indonusantara,Radio Link,Jharden / Jharden JHT-07SA Radio Link (7 GHz),JHARDEN,Tiongkok,
S00054,593/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,515,Philips Consumer Electronics,Dect Phone (PP+FP),Philips / CD150,PHILIPS,Hong Kong,
S00055,594/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,529,"ZTE Indonesia, PT.",Base Station Antenna,Mobi / MB800-65-18DT2,MOBI,Tiongkok,
S00056,595/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,531,"ZTE Indonesia, PT.",Base Station Antenna,Mobi / MB800-90-17DT2,MOBI,Tiongkok,
S00057,596/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,530,"ZTE Indonesia, PT.",Base Station Antenna,Andrew / DB858DG90ESX,ANDREW,Amerika Serikat,
S00058,599/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,534,PT. Procell Indonesia,Telepon Seluler,Beyond / B 588 (SL-76),BEYOND,Tiongkok,
S00059,600/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,553,PT. Suryajaya Teknotama,Antenna Dual Polarized,Andrew / HBX-6516DS-VTM,ANDREW,Tiongkok,
S00060,601/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,554,PT. Suryajaya Teknotama,Antenna Dual Polarized,Andrew / CTSDG-06516-XDM,ANDREW,Tiongkok,
S00061,602/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,583,PT. Cipta Guna Data Infotek Solusindo,Smart Phone,BlackBerry / Curve 8310 (GSM850/900/1800/1900 MHz),BLACKBERRY,Canada,
S00062,603/BBPPT/V/08,2008,Mei,8-May-08,9-May-08,584,Sony Ericsson Com. AB (Seab),Mobile Phone,"Sony Ericsson / G502, GSM/UMTS/HSDPA, 900/1800/1900/2100 MHz",SONY ERICSSON,Tiongkok,
S00063,607/BBPPT/V/08,2008,Mei,9-May-08,13-May-08,266,"NEC Indonesia, PT.",Radio Microwave,"NEC / Pasolink NEO Kapasitas STM-1, Frekuensi 23 GHz",NEC,Jepang,
S00064,608/BBPPT/V/08,2008,Mei,9-May-08,13-May-08,267,"NEC Indonesia, PT.",Radio Microwave,"NEC / Pasolink NEO Kapasitas STM-1, Frekuensi 18 GHz",NEC,Jepang,
S00065,609/BBPPT/V/08,2008,Mei,9-May-08,13-May-08,268,"NEC Indonesia, PT.",Radio Microwave,NEC / Pasolink NEO/c Kaoasitas 16E1 Frekuensi 23 GHz,NEC,Jepang,
S00066,610/BBPPT/V/08,2008,Mei,9-May-08,13-May-08,269,"NEC Indonesia, PT.",Radio Microwave,NEC / Pasolink NEO/c Kapasitas 16E1 Frekuensi 18 GHz,NEC,Jepang,
S00067,611/BBPPT/V/08,2008,Mei,9-May-08,13-May-08,513,PT. Suryajaya Teknotama,Radio Microwave PDH,"SIAE Microelettronica S.p.A. /ELFO Rel.2, 15 GHz, Horizontal/Vertical, HP, 0.6M (Integrated)",SIAE MICROELETTRONICA S.P.A,Italy,
S00068,612/BBPPT/V/08,2008,Mei,9-May-08,13-May-08,551,PT. Suryajaya Teknotama,Radio Microwave PDH,"SIAE Microelettronica S.p.A / ELFO 15 GHz, Horizontal/Vertical, HP,0.6M (Integrated)",SIAE MICROELETTRONICA S.P.A,Italy,
S00069,613/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,411,GARMIN Corporation,GPS,Garmin / Colorado 300,GARMIN,Taiwan,
S00070,614/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,418,Dell Inc,Notebook PC with Integrated 13.56 MHz RFID,Dell / PP30L,DELL,Amerika Serikat,
S00071,615/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,492,PT. Surya Citra Nata Buana,Mobile Terminal,Teltronic / M-4000/Frequency 145-179 MHz,TELTRONIC,Spanyol,
S00072,616/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,521,PT. Hayam Wuruk Permai,VHF Multimode Receivers,Telerad / RE 9000 A,TELERAD,Perancis,
S00073,617/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,586,"ZTE Indonesia, PT.",Handset CDMA,ZTE / ZTE X 178 (CDMA 1900 MHz),ZTE,Tiongkok,
S00074,618/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,587,"ZTE Indonesia, PT.",Handset CDMA,ZTE / ZTE X 177 (CDMA 1900 MHz),ZTE,Tiongkok,
S00075,619/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,594,PT. Madya Pratama Expresindo,Telepon Selular,MY G / MY G 901,MY G,Tiongkok,
S00076,620/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,600,PT. Dynatama Internusa,Handphone/TV Phone/Dual Sim Card,TITAN / T999i/GSM/Dualband/900/1800 MHz,TITAN,Tiongkok,
S00077,621/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,602,PT. Dynatama Internusa,Handphone/TV Phone/Dual Sim Card,TITAN / T888i/GSM/Dualband/900/1800 MHz,TITAN,Tiongkok,
S00078,622/BBPPT/V/08,2008,Mei,12-May-08,13-May-08,611,PT. Metrotech Jaya Komunika,CDMA Mobile Phone,Nexian / NX-980 (CDMA 800 MHz),NEXIAN,Tiongkok,
S00079,579/BBPPT/V/08,2008,Mei,13-May-08,14-May-08,532,PT. Procell Indonesia,Telepon Seluler,Beyond / B 950 (PD-28),BEYOND,Tiongkok,
S00080,581/BBPPT/V/08,2008,Mei,13-May-08,14-May-08,568,PT. Aneka Kurnia Indah,Handphone,EXISS / E 188,EXISS,Tiongkok,
S00081,582/BBPPT/V/08,2008,Mei,13-May-08,14-May-08,576,PT. Telgam Indo Intim,Handphone / TV Mobile Dual Working GSM+CDMA,Swaahoo / S96,SWAAHOO,Tiongkok,
S00082,604/BBPPT/V/08,2008,Mei,13-May-08,14-May-08,590,PT. Madya Pratama Expresindo,Telepon Seluler,MY G / MY G 300,MY G,Tiongkok,
S00083,605/BBPPT/V/08,2008,Mei,13-May-08,14-May-08,591,PT. Madya Pratama Expresindo,Telepon Seluler,MY G / MY G 819,MY G,Tiongkok,
S00084,606/BBPPT/V/08,2008,Mei,13-May-08,14-May-08,593,PT. Madya Pratama Expresindo,Telepon Selular,MY G / MY G 200,MY G,Tiongkok,
S00085,597/BBPPT/V/08,2008,Mei,14-May-08,19-May-08,464,PT. iForte Solusi Infotek,Wireless Broadband,SonicWALL / Sonic WALL TZ 190,SONICWALL,Amerika Serikat,
S00086,598/BBPPT/V/08,2008,Mei,15-May-08,19-May-08,488,PT. Konten Indomedia Pratama,Mobile Phone Dual Mode GSM;CDMA,IMO / TV 600c (GSM900/1800 & CDMA 800 MHz),IMO,Tiongkok,
S00087,623/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,211,3Com Corporation,3Com OfficeConnect ADSL Wireless 108Mbps 11g Cable/DSL Firewall Router,3Com / WL-553 / 3CRWDR200A-75,3COM,Tiongkok,
S00088,625/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,470,PT. Tirta Citra Nusantara,Telepon Selular,Startech / ST22 Dual Band GSM900/1800 MHz,STARTECH,Tiongkok,
S00089,626/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,472,Nokia Corporation,Telepon Seluler,Nokia / 5220 /RM-411 (GSM900/1800/1900 MHz),NOKIA,Tiongkok,
S00090,627/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,483,PT. Alcatel - Lucent Indonesia,Radio Microwave Packet,Alcatel-Lucent / 9500 MPR (13 GHz),ALCATEL-LUCENT,Italy,
S00091,628/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,546,PT. Galindra Multi Cipta,Bluetooth USB,Broadcom / Broadcom Bluetooth 2.0 EDR USB/BCM2045,BROADCOM,Tiongkok,
S00092,629/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,544,PT. Galindra Multi Cipta,Wifi Mini PCI Express Card,Atheros / AR5BXB63,ATHEROS,Tiongkok,
S00093,630/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,526,"MLW Telecom, PT.",Wireless Broadband Router,Speedup / SU-8800MBR,SPEEDUP,Taiwan,
S00094,631/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,570,3Com Corporation,3Com Wireless 11n PCI Adapter,3Com / WL-601/3CRPCIN175,3COM,Tiongkok,
S00095,632/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,571,3Com Corporation,3Com Wireless 11g PCI Adapter,3Com / WL-549/3CRPCIG75,3COM,Tiongkok,
S00096,633/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,572,3Com Corporation,3Com Wireless 11n USB Adapter,3Com / WL-600/3CRUSBN175,3COM,Tiongkok,
S00097,634/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,573,3Com Corporation,3Com AP3150 Managed Access Point,3Com / AP3150/3CRWX315075A,3COM,Tiongkok,
S00098,635/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,574,3Com Corporation,3Com AP2750 Managed Access Point,3Com / AP2750/3CRWX275075A,3COM,Tiongkok,
S00099,636/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,592,PT. Madya Pratama Expresindo,Telepon Seluler,MY G / MY G 110,MY G,Tiongkok,
S00100,637/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,597,PT. Sam Surya Indonesia,Telepon Genggam,Nexcom / NC 319 (GSM900/1800; CDMA800/1900 MHz),NEXCOM,Tiongkok,
S00101,638/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,599,"LG Electronics Indonesia, PT.",Mobile Phone,LG / KF600 Tri-band (GSM900/1800/1900 MHz),LG,Korea Selatan,
S00102,639/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,601,PT. Dynatama Internusa,Handphone/Dual Sim Card,TITAN / V70/GSM/Dualband/900/1800 MHz,TITAN,Tiongkok,
S00103,640/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,619,PT. Megasindo Pratama,Telepon Selular TV Mobile,iTU / iTU 8868,ITU,Tiongkok,
S00104,641/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,620,PT. Megasindo Pratama,Telepon Selular TV Mobile,iTU / iTU 8128,ITU,Tiongkok,
S00105,642/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,631,PT. Konten Indomedia Pratama,Mobile Phone,IMO / C2000n (GSM900/1800 MHz),IMO,Tiongkok,
S00106,643/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,441,PT. Surya Citra Nata Buana,Base Station/Repeater,Teltronic / TR-1000/Frequency 138-181 MHz,TELTRONIC,Spanyol,
S00107,644/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,421,PT. Sepakat Maju Bersama,Digital Extended Twin C-Band LNBF,Goldsat / GS-260,GOLDSAT,Tiongkok,
S00108,645/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,422,PT. Sepakat Maju Bersama,Digital Extended 4 In 1 C-Band LNBF,Goldsat / GS-450,GOLDSAT,Tiongkok,
S00109,646/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,524,PT. Modular Mining Indonesia,BS Repeater,TAIT / TB7100,TAIT,New Zealand,
S00110,647/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,545,PT. Galindra Multi Cipta,Wifi Mini PCI Express Card,Intel / 4965AGN,INTEL,Tiongkok,
S00111,648/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,598,PT. Aneka Kurnia Indah,FWP,Wintel / C8R,WINTEL,Tiongkok,
S00112,649/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,618,PT. Metrotech Jaya Komunika,CDMA Fixed Wireless Phone,Flexihome (FH) / FH-7802U (CDMA 800 MHz),FLEXIHOME (FH),Tiongkok,
S00113,650/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,636,PT. Huawei Tech Insvesment,CDMA Base Station Controller,Huawei / BSC6680,HUAWEI,Tiongkok,
S00114,651/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,637,PT. Huawei Tech Insvesment,CDMA Base Station Controller,Huawei / BSC6600,HUAWEI,Tiongkok,
S00115,652/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,704,"HARIFF DAYA TUNGGAL ENGINEERING, PT.",Antenna Broadband Wireless Access 2.3 GHz,HiMAX231 / HiMAX231-ANT120,HIMAX231,Indonesia,
S00116,653/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,705,"HARIFF DAYA TUNGGAL ENGINEERING, PT.",Base Station Broadband Wireless Access 2.3 GHz,HiMAX231 / HiMAX231-BS,HIMAX231,Indonesia,
S00117,654/BBPPT/V/08,2008,Mei,16-May-08,19-May-08,706,"HARIFF DAYA TUNGGAL ENGINEERING, PT.",Subscriber Station Broadband Wireless Access 2.3 GHz,HiMAX231 / HiMAX231-SS,HIMAX231,Indonesia,
S00118,655/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,429,"ATHEROS COMMUNICATION, Inc",802.11n 1x2 PCLe Minicard Transceiver,Atheros / AR5BXB92,ATHEROS,Amerika Serikat,
S00119,656/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,525,PT. Printama Sukses,Wireless Portable Thermal Printer,Oneil / MF4Te,ONEIL,Amerika Serikat,
S00120,657/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,543,PT. Triduta Mitra Sejahtera,Notebook (WLAN 802.11 b/g),ADVAN / E,ADVAN,Tiongkok,
S00121,658/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,552,PT. Trimegah Internusa Sejati,Bluetooth Headset A2DP,K-Touch / GMU-802,K-TOUCH,Tiongkok,
S00122,659/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,555,Intel Corporation SAS,Intel WiFi Link 5300,Intel / 533AN_HMW,INTEL,Tiongkok,
S00123,660/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,556,Intel Corporation SAS,Intel WiFi Link 5100,Intel / 512AN_MMW,INTEL,Tiongkok,
S00124,661/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,557,Intel Corporation SAS,Intel WiFi Link 5300,Intel / 533AN_MMW,INTEL,Tiongkok,
S00125,662/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,558,Intel Corporation SAS,Intel WiFi Link 5100,Intel / 512AN_HMW,INTEL,Tiongkok,
S00126,663/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,569,DENSO CORPORATION,Bluetooth ASSY,DENSO / BT0501A,DENSO,Jepang,
S00127,664/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,575,CV. International Trading Co.,Mouse Bluetooth,Genius / Traveller 915 BT,GENIUS,Tiongkok,
S00128,665/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,582,PT. Cipta Guna Data Infotek Solusindo,Wireless LAN Radio,"Ubiquiti Networks / NanoStation2, 2.4 GHz 54 Mbps 802.11 b/g",UBIQUITI NETWORKS,Amerika Serikat,
S00129,666/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,650,"Prolink Intidata Nusantara, PT.",ADSL 2+ Ethernet Modem Router,Prolink / Hurricane 9200R,PROLINK,Singapore,
S00130,667/BBPPT/V/08,2008,Mei,19-May-08,21-May-08,651,Seiko Epson Corporation,2.4 GHz Wireless LAN Mini USB Module,Epson / WLU3072-D69 (RoHS),EPSON,Taiwan,
S00131,668/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,595,"Lexmark International, Inc,",Lexmark Printer/Scanner with WLAN,Lexmark / Z2420/4116-W01,LEXMARK,Tiongkok,
S00132,669/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,596,"Lexmark International, Inc,",Lexmark Printer/Scanner with WLAN,Lexmark / X4650/4438-W02,LEXMARK,Tiongkok,
S00133,670/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,632,"Huawei Tech Investment, PT.",WCDMA NodeB,Huawei / BTS3900A WCDMA,HUAWEI,Tiongkok,
S00134,671/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,633,"Huawei Tech Investment, PT.",WCDMA NodeB,Huawei / DBS3900 WCDMA,HUAWEI,Tiongkok,
S00135,672/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,634,PT. Huawei Tech Insvesment,WCDMA NodeB,Huawei / BTS3900 WCDMA,HUAWEI,Tiongkok,
S00136,673/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,635,PT. Huawei Tech Insvesment,WCDMA NodeB,Huawei / BTS3900C WCDMA,HUAWEI,Tiongkok,
S00137,674/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,643,3Com Corporation,3Com OfficeConnect Wireless 108Mbps 11g USB Adapter,3Com / WL-555/3CRUSB20075,3COM,Tiongkok,
S00138,675/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,658,PT. Huawei Tech Insvesment,CDMA FWT 1X 800M,Huawei / ETS2222,HUAWEI,Jepang,
S00139,676/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,660,PT. Huawei Tech Insvesment,GSM Mobile Handset,Huawei / T156,HUAWEI,Jepang,
S00140,677/BBPPT/V/08,2008,Mei,21-May-08,21-May-08,661,PT. Huawei Tech Insvesment,CDMA 1X 800MHz Handset,Huawei / C5100,HUAWEI,Jepang,
